['EP0049154B2', 2.8284271247461903]
['EP0115517A1', 12.104595233772258]
['EP0135822A2', 7.6462167913500485]
['EP0266476A2', 9.206801107957277]
['EP0266476A3', 9.206801107957277]
['EP0290994A2', 7.696916214531112]
['EP0290994A3', 7.696916214531112]
['EP0378926A1', 12.585095881490727]
['EP0495168B1', 4.154506511006674]
['EP0522160A4', 9.283075105381833]
['EP0547107B1', 2.23606797749979]
['EP0630503A1', 12.148388762260904]
['EP0665566A1', 9.009671914156822]
['EP0675495A2', 10.992618110077448]
['EP0689298A1', 12.787019872457899]
['EP0698680A1', 11.804876217183427]
['EP0698680B1', 3.955411792624339]
['EP0709120A1', 9.435319775451536]
['EP0713186A1', 9.844975850847396]
['EP0735178A1', 10.21242003948378]
['EP0735510A1', 6.370072253667322]
['EP0744217A1', 8.748795090673214]
['EP0744217A4', 8.748795090673214]
['EP0780009A1', 9.815362202417782]
['EP0813450A1', 8.533127737254894]
['EP0838134A1', 12.229173409658681]
['EP0878767A1', 10.813771749953505]
['EP0917148A2', 10.745721826488568]
['EP0958720A1', 12.109764238266777]
['EP0988113A1', 10.835107772261932]
['EP0988113A4', 11.399160423423135]
['EP1006871A4', 11.063248335653878]
['EP1016156A2', 10.174595844498395]
['EP1034507A2', 9.237521128634178]
['EP1075234A4', 9.268418951982422]
['EP1114752A2', 8.729317791547695]
['EP1115934B1', 3.0301629001003545]
['EP1129250A1', 10.921498416754815]
['EP1188540A2', 11.358456769865182]
['EP1214647A2', 9.852800441893455]
['EP1220143A2', 7.642343002822295]
['EP1237131A2', 9.114479994090184]
['EP1261053A1', 10.557454128548777]
['EP1271392A1', 9.70416915955254]
['EP1287490A2', 9.683197747773518]
['EP1293388A2', 9.212913210985127]
['EP1443014A1', 8.48046459749314]
['EP1447221A1', 10.916781957285393]
['EP1546447A1', 8.530228547476028]
['EP1652122A2', 9.954219804415207]
['EP1710852A1', 7.787525317857535]
['EP1770554A1', 8.967089073534293]
['EP1772797B1', 3.0301629001003545]
['EP1818870B1', 3.1622776601683795]
['EP1870505A2', 9.142171572404246]
['EP1918441A1', 7.422303693200721]
['EP1918442A2', 8.218007138272377]
['EP1936021A2', 7.202915550515329]
['EP2017087A1', 6.290220304229159]
['EP2020260A1', 11.418116887219501]
['EP2067524A1', 10.97544340234485]
['EP2071515A1', 10.621057806286126]
['EP2093709A1', 10.849525250252091]
['EP2098190A1', 10.966319887708854]
['EP2136332A1', 8.973562140292122]
['EP2158349A1', 3.1622776601683795]
['EP2164009A2', 9.610158760435098]
['EP2187601A1', 6.85614985521711]
['EP2194567A1', 7.609355537779503]
['EP2194567B1', 7.621763231342093]
['EP2204772A1', 10.056977312796915]
['EP2222222A2', 9.579156247156135]
['EP2236658A1', 7.753904458577018]
['EP2239008A2', 9.42835508231502]
['EP2239008A3', 9.42835508231502]
['EP2245981A2', 8.254635030402921]
['EP2252971A2', 8.824179624386279]
['EP2290780A1', 7.023528167024421]
['EP2293111A1', 11.55082441691681]
['EP2298978A2', 8.95167784352069]
['EP2299519A1', 8.28567722706285]
['EP2309307A1', 10.37392268017912]
['EP2312036A1', 3.1622776601683795]
['EP2313863A1', 9.907475818685102]
['EP2332665A1', 7.886536605502825]
['EP2361689A1', 10.756627053358942]
['EP2371202A3', 9.126833554953366]
['EP2372006A2', 7.254111381486692]
['EP2383861A2', 10.964332361306328]
['EP2391122A1', 7.524046769750073]
['EP2402494A1', 11.46805948963391]
['EP2405391A1', 11.617803248197033]
['EP2413287A1', 9.271179938983229]
['EP2446956A1', 11.979914754754104]
['EP2462270A1', 4.095206490333506]
['EP2464779A1', 3.113306770881633]
['EP2557781A1', 9.908158763342096]
['GB2280389A', 10.279898311109763]
['US20010031072A1', 9.357972341944452]
['US20010031103A1', 10.009541024426762]
['US20010037191A1', 9.049772321617317]
['US20020023973A1', 8.850999413865775]
['US20020033550A1', 10.880077760823463]
['US20020051572A1', 7.587798443694897]
['US20020091740A1', 5.6079916399305505]
['US20020097567A1', 8.475259547070545]
['US20020122299A1', 9.560734410635249]
['US20020142193A1', 6.266393143777875]
['US20020191817A1', 8.818475957435387]
['US20030001846A1', 10.029238682508861]
['US20030046267A1', 11.298309706057506]
['US20030063781A1', 8.351590577268158]
['US20030071122A1', 14.075168372793645]
['US20030097250A1', 8.150097426934813]
['US20030146301A1', 11.581921284450981]
['US20030215144A1', 8.236287382034224]
['US20030225763A1', 9.495349281564556]
['US20030230122A1', 12.830698343942684]
['US20040024758A1', 9.333194253502406]
['US20040028281A1', 7.268024584963941]
['US20040039629A1', 9.413307554081443]
['US20040040344A1', 7.589242860074223]
['US20040061474A1', 7.203255740061229]
['US20040085781A1', 15.29834639063784]
['US20040134514A1', 7.741930005878816]
['US20040166827A1', 12.495149283540137]
['US20040196599A1', 9.04328973424693]
['US20040208343A1', 13.151417581177727]
['US20040257039A1', 6.280940958017088]
['US20040260776A1', 8.92778362422868]
['US20050021512A1', 11.485660550029099]
['US20050058890A1', 9.783002272387373]
['US20050105779A1', 8.756696471817529]
['US20050147282A1', 7.336060519951317]
['US20050189439A1', 11.381942350763255]
['US20050198570A1', 9.836730114080979]
['US20050225284A1', 6.482381116250064]
['US20050241668A1', 8.20679735443659]
['US20060001398A1', 6.049408613624612]
['US20060045348A1', 10.00896955035062]
['US20060054191A1', 8.23668393682059]
['US20060054205A1', 11.216077103269134]
['US20060099505A1', 11.111234791236575]
['US20060137719A1', 8.394806577403754]
['US20060152908A1', 9.915805189849689]
['US20060197764A1', 9.747968164881616]
['US20060200475A1', 9.481054996868213]
['US20060244418A1', 8.649174940480759]
['US20060250108A1', 4.656125333324582]
['US20060292439A1', 9.841996076475398]
['US20070009786A1', 9.02650311667215]
['US20070020523A1', 8.411113406609909]
['US20070041644A1', 7.620596379662657]
['US20070077487A1', 7.570330852970519]
['US20070087266A1', 11.56308747619509]
['US20070095937A1', 9.753171303014161]
['US20070104362A1', 9.1396206256332]
['US20070105010A1', 9.534881831070313]
['US20070119987A1', 10.623882023260991]
['US20070141403A1', 10.53335443018104]
['US20070148534A1', 9.910445213239514]
['US20070168434A1', 6.731764483538211]
['US20070175502A1', 9.174439958785745]
['US20070192176A1', 14.278126822383868]
['US20070211928A1', 9.165595404490386]
['US20070212596A1', 10.823231586915652]
['US20070212598A1', 9.983371746830798]
['US20070218366A1', 9.18535780319501]
['US20070231617A1', 9.089310357293353]
['US20070235064A9', 8.394806577403754]
['US20070237425A1', 9.803940790651216]
['US20070248249A1', 10.519610765742105]
['US20070251828A1', 9.322182016850007]
['US20070253162A1', 9.673270841169982]
['US20070257016A1', 9.47242342662488]
['US20070289612A1', 7.589242860074223]
['US20070298315A1', 8.955611284288828]
['US20070298316A1', 8.773601774176445]
['US20080008399A1', 10.679499157359627]
